E69,มะม่วงน้ำดอกไม้,fruit15.png,มะม่วงน้ำดอกไม้สุก,E69.jpg,64,62.0,0.9,12.0,ช่วยบำรุงกระดูกและฟัน ช่วยเสริมสร้างภูมิคุ้มกัน ป้องกันปัญหาเลือดออกตามไรฟัน ช่วยปรับสมดุลน้ำตาลในเลือด,"มะม่วงน้ำดอกไม้,สุก 
1 ส่วน 82 กรัม",Fruit,0.65,0.23,16.64
E80,แคนตาลูปเหลือง,fruit16.png,แคนตาลูปเนื้อสีเหลืองสุก,E80.jpg,65,61.8,2.6,20.0,ช่วยลดความดันโลหิต ป้องกันโรคเลือดออกตามไรฟัน ช่วยลดไข้ ดับร้อน แก้กระหาย บรรเทาอาการอักเสบของลำไส้ ทางเดินปัสสาวะ,"แคนตาลูปเหลือง 
1 ส่วน 200 กรัม",Fruit,0.50,0.10,5.70
E82,มะละกอ สุก,fruit17.png,มะละกอสุก,E82.jpg,65,52.7,2.5,12.0,ช่วยในการทำงานของจอประสาทตาและการมองเห็น ช่วยบำรุงหัวใจ เติมความชุ่มชื้นให้ผิวพรรณ ผลัดเซลล์ผิวอย่างอ่อนโยน ลดปัญหาสิวและจุดด่างดำ ,"มะละกอสุก 
1 ส่วน 130 กรัม",Fruit,0.59,0.08,7.44
E83,มังคุด,fruit18.png,มังคุด,E83.jpg,59,47.9,1.0,10.4,ช่วยบรรเทาอาการหวัด เสริมสร้างภูมิคุ้มกัน ลดความเสี่ยงของอาการเลือดออกตามไรฟันมีส่วนช่วยในการลดเลือนริ้วรอย ลดรอยสิว ช่วยลดระดับคอเลสเตอรอลในร่างกาย ลดไขมันไม่ดีในเส้นเลือด,"มังคุค 
1 ส่วน 60 กรัม",Fruit,0.50,0.06,17.70
E98,ลำไย,fruit19.png,ลำไย,E98.jpg,45,71.2,0.9,6.5,ช่วยบำรุงเลือด ลดความดันโลหิต ป้องกันร่างกายไม่ให้อ่อนเพลีย บรรเทาอาการวิงเวียนศีรษะ บำรุงระบบประสาทและสมอง,"ลำไย 
1 ส่วน 90 กรัม",Fruit,1.17,0.11,17.35
E100,ลิ้นจี่,fruit20.png,ลิ้นจี่,E100.jpg,70,49.9,0.9,13.6,ช่วยแก้อาการไอเรื้อรัง ลดอาการคัดจมูก ป้องกันอาการเลือดออกตามไรฟัน ช่วยลดกรดในกระเพาะอาหาร ช่วยรักษาอาการท้องเดิน ช่วยให้ระบบย่อยอาหารทำงานได้ดี,"ลิ้นจี่ 
1 ส่วน 120 กรัม",Fruit,0.96,0.16,13.90
E115,ส้มเขียวหวาน,fruit21.png,ส้มเขียวหวาน,E115.jpg,44,71.1,2.5,17.8,ช่วยกระตุ้นภูมิคุ้มกันร่างกาย ลดความดันโลหิต ปรับสมดุลระดับน้ำตาลในเลือด ช่วยลดคอเลสเตอรออลในเลือด บำรุงหัวใจ ช่วยแก้อาการท้องผูก,"ส้มเขียวหวาน 
1 ส่วน 162 กรัม",Fruit,0.84,0.17,8.18
E119,ส้มโอ,fruit22.png,ส้มโอพันธุ์ต่างๆ,E119.jpg,45,40.3,1.4,9.2,ช่วยแก้อาการวิงเวียน หน้ามืดตาลาย ใจสั่น ช่วยขับลม ขับเสมหะ แก้จุกแน่นหน้าอก ท้องอืดท้องเฟ้อ,"ส้มโอ 
1 ส่วน 90 กรัม",Fruit,0.92,0.12,8.49
E120,สับปะรด ภูแล,fruit23.png,สับปะรดภูแล,E120.jpg,72,59.9,1.8,14.1, ช่วยบำรุงร่างกาย บำรุงสมองและระบบประสาท ช่วยป้องกันโรคโลหิตจาง บำรุงหัวใจ ช่วยในการทำงานของระบบขับถาย ระบบย่อยอาหาร เสริมภูมิคุ้มกัน ช่วยรักษาความดันโลหิต,"สับปะรดภูแล 
1 ส่วน 110 กรัม",Fruit,0.50,0.05,11.38
E121,ชมพู่,fruit24.png,ชมพู่ทับทิมจันทร์,E121.jpg,67,220.5,3.5,16.5,ช่วยเพิ่มความสดชื่น เติมน้ำให้ผิวพรรณเปล่งปลั่งมีส่วนช่วยในการบำรุงสายตา เสริมสร้างภูมิคุ้มกันป้องกันเลือดออกตามไรฟัน ลดความรุนแรงของโรคหวัด,"ชมพู่
1 ส่วน 150 กรัม",Fruit,0.50,0.10,9.33
